county,fips,cases,deaths,cfr
Thomas,305325.0,960,48,0.05
Thurston,1963479.0,1485,13,0.008754208754208754
Tift,371756.0,920,14,0.015217391304347827
Tillamook,903254.0,70,0,0.0
Tillman,521833.0,13,0,0.0
Tioga,2069978.0,419,6,0.014319809069212411
Tippah,787892.0,773,80,0.1034928848641656
Tippecanoe,526553.0,667,23,0.034482758620689655
Tipton,1792810.0,881,1,0.0011350737797956867
Tishomingo,478397.0,25,0,0.0
Titus,678286.0,59,0,0.0
Todd,1316496.0,92,0,0.0
Tolland,261377.0,2575,261,0.10135922330097087
Tom Green,1114373.0,433,7,0.016166281755196306
Tompkins,1227706.0,1974,10,0.005065856129685917
Tooele,1569440.0,472,0,0.0
Toole,662222.0,315,51,0.1619047619047619
Toombs,292138.0,161,16,0.09937888198757763
Torrance,631026.0,129,0,0.0
Towns,185934.0,48,0,0.0
Transylvania,892200.0,111,0,0.0
Traverse,461635.0,34,0,0.0
Travis,1695855.0,11252,134,0.011908993956629933
Trempealeau,826815.0,15,0,0.0
Treutlen,146113.0,11,0,0.0
Trigg,106105.0,20,0,0.0
Trimble,148561.0,8,0,0.0
Trinity,629915.0,40,0,0.0
Troup,425120.0,882,45,0.05102040816326531
Trousdale,943380.0,222,16,0.07207207207207207
Trumbull,1409580.0,2300,145,0.06304347826086956
Tucker,1568697.0,79,0,0.0
Tulare,219852.0,3333,141,0.0423042304230423
Tulsa,1686006.0,4882,236,0.04834084391642769
Tunica,759861.0,351,23,0.06552706552706553
Tuolumne,116071.0,22,0,0.0
Turner,1248411.0,494,4,0.008097165991902834
Tuscaloosa,39375.0,1566,0,0.0
Tuscarawas,1331338.0,426,0,0.0
Tuscola,706239.0,539,79,0.14656771799628943
Twiggs,345514.0,53,0,0.0
Twin Falls,482490.0,975,39,0.04
Tyler,1170891.0,64,0,0.0
Tyrrell,111531.0,9,0,0.0
Uinta,840615.0,46,0,0.0
Uintah,1029987.0,61,0,0.0
Ulster,1444440.0,8774,49,0.00558468201504445
Umatilla,1519183.0,225,0,0.0
Unicoi,1037762.0,22,0,0.0
Union,10971939.0,87160,2407,0.027615878843506195
Unknown,0.0,137945,5276,0.038247127478342816
Upshur,2546986.0,139,0,0.0
Upson,279153.0,891,21,0.02356902356902357
Utah,1618617.0,4362,4,0.0009170105456212746
Uvalde,1017723.0,97,0,0.0
Val Verde,1066230.0,176,0,0.0
Valencia,736281.0,207,0,0.0
Valley,418210.0,46,0,0.0
Van Buren,1284632.0,918,44,0.04793028322440087
Van Wert,783220.0,36,0,0.0
Van Zandt,1405543.0,130,19,0.14615384615384616
Vance,929525.0,259,2,0.007722007722007722
Vanderburgh,508564.0,810,10,0.012345679012345678
Venango,800299.0,81,0,0.0
Ventura,232218.0,5185,158,0.0304725168756027
Vermilion,761414.0,443,20,0.045146726862302484
Vermillion,290640.0,37,0,0.0
Vernon,764496.0,223,3,0.013452914798206279
Victoria,1163256.0,948,2,0.002109704641350211
Vigo,508676.0,517,41,0.07930367504835589
Vilas,1212750.0,73,0,0.0
Virginia Beach city,2020590.0,3551,26,0.007321881160236553
Volusia,497207.0,3277,76,0.023191943851083308
Wabash,552415.0,95,0,0.0
Wabasha,733239.0,134,0,0.0
Wabaunsee,242364.0,12,0,0.0
Wagoner,963480.0,1007,63,0.06256206554121152
Wahkiakum,689897.0,25,0,0.0
Wake,1673235.0,7257,2,0.00027559597629874606
Wakulla,230451.0,120,5,0.041666666666666664
Waldo,552648.0,257,18,0.07003891050583658
Walker,1373531.0,1645,0,0.0
Walla Walla,2441266.0,333,0,0.0
Waller,920987.0,202,0,0.0
Wallowa,698071.0,18,0,0.0
Walsh,952475.0,47,0,0.0
Walthall,816263.0,286,0,0.0
Walton,669761.0,1075,27,0.025116279069767444
Walworth,1829328.0,552,6,0.010869565217391304
Wapello,479475.0,59,0,0.0
Ward,1458212.0,344,8,0.023255813953488372
Ware,305877.0,681,56,0.08223201174743025
Warren,9621482.0,8506,284,0.03338819656712909
Warrick,436152.0,459,17,0.037037037037037035
Wasatch,1569632.0,1667,6,0.003599280143971206
Wasco,903430.0,149,0,0.0
Waseca,896313.0,83,0,0.0
Washakie,1176903.0,60,0,0.0
Washburn,165387.0,3,0,0.0
Washington,24879076.0,22956,459,0.019994772608468374
Washita,40149.0,1,0,0.0
Washoe,1377333.0,6593,141,0.021386318822994084
Washtenaw,941796.0,11410,264,0.0231375985977213
Watauga,1227237.0,166,0,0.0
Watonwan,488970.0,61,0,0.0
Waukesha,2039921.0,3541,87,0.024569330697543065
Waupaca,1157835.0,50,20,0.4
Waushara,606507.0,19,0,0.0
Wayne,9093323.0,171633,8720,0.05080608041577086
Waynesboro city,880940.0,62,0,0.0
Weakley,990843.0,73,0,0.0
Webb,1454370.0,2488,103,0.04139871382636656
Weber,1864166.0,1476,17,0.011517615176151762
Webster,3214070.0,1336,67,0.050149700598802395
Weld,284305.0,11114,630,0.0566852618319237
Wells,618086.0,64,0,0.0
West Baton Rouge,641509.0,941,120,0.1275239107332625
West Carroll,243353.0,31,0,0.0
West Feliciana,464625.0,540,0,0.0
Westchester,1589236.0,330046,6141,0.018606497276137265
Westmoreland,1938443.0,3218,97,0.03014294592914854
Wetzel,1027957.0,43,0,0.0
Wexford,706455.0,106,6,0.05660377358490566
Wharton,1115063.0,331,0,0.0
Whatcom,2016774.0,4586,341,0.07435673789795029
Wheeler,266180.0,32,0,0.0
White,1878508.0,729,0,0.0
White Pine,256264.0,16,0,0.0
Whiteside,567435.0,356,23,0.06460674157303371
Whitfield,412703.0,408,39,0.09558823529411764
Whitley,572958.0,184,12,0.06521739130434782
Whitman,1379950.0,235,0,0.0
Wichita,1454550.0,957,2,0.0020898641588296763
Wicomico,697305.0,551,20,0.036297640653357534
Wilbarger,145461.0,3,0,0.0
Wilcox,252368.0,488,0,0.0
Wilkes,938572.0,159,15,0.09433962264150944
Wilkin,597674.0,73,12,0.1643835616438356
Wilkinson,1042976.0,771,62,0.08041504539559015
Will,550304.0,16026,697,0.043491825783102456
Willacy,1018269.0,86,13,0.1511627906976744
Williams,1235350.0,134,2,0.014925373134328358
Williamsburg,1037047.0,207,0,0.0
Williamsburg city,1606730.0,306,26,0.08496732026143791
Williamson,3999741.0,7384,105,0.014219934994582881
Wilson,3711255.0,2926,42,0.014354066985645933
Winchester city,984960.0,241,0,0.0
Windham,1612110.0,1616,23,0.014232673267326733
Windsor,1700918.0,572,38,0.06643356643356643
Winkler,339465.0,9,0,0.0
Winn,508921.0,115,21,0.1826086956521739
Winnebago,2653438.0,1664,74,0.04447115384615385
Winneshiek,575730.0,93,0,0.0
Winona,624887.0,408,58,0.14215686274509803
Winston,840404.0,367,0,0.0
Wirt,1027995.0,25,0,0.0
Wise,1589676.0,167,7,0.041916167664670656
Wood,4857562.0,1086,31,0.0285451197053407
Woodbury,499018.0,235,0,0.0
Woodford,1030921.0,358,0,0.0
Woodruff,123528.0,24,0,0.0
Woodson,484968.0,59,0,0.0
Woodward,602295.0,15,0,0.0
Worcester,1674396.0,26174,642,0.02452815771376175
Worth,867240.0,1169,52,0.04448246364414029
Wright,1967931.0,412,6,0.014563106796116505
Wyandot,861850.0,129,14,0.10852713178294573
Wyandotte,727524.0,4364,301,0.06897341888175985
Wyoming,2208544.0,587,21,0.03577512776831346
Wythe,972743.0,80,0,0.0
Yadkin,706743.0,142,2,0.014084507042253521
Yakima,1910772.0,7976,289,0.03623370110330993
Yalobusha,619542.0,199,0,0.0
Yamhill,1355343.0,540,79,0.14629629629629629
Yankton,922700.0,288,0,0.0
Yates,541845.0,45,0,0.0
Yavapai,116725.0,963,11,0.01142263759086189
Yazoo,816727.0,717,15,0.02092050209205021
Yell,61788.0,12,0,0.0
Yellow Medicine,434768.0,30,0,0.0
Yellowstone,1053885.0,1010,0,0.0
Yoakum,291006.0,6,0,0.0
Yolo,256746.0,1287,55,0.042735042735042736
York,5575470.0,8993,122,0.013566106972089403
Young,1018563.0,55,2,0.03636363636363636
Yuba,165105.0,240,12,0.05
Yukon-Koyukuk Census Area,34350.0,15,0,0.0
Yuma,356506.0,351,4,0.011396011396011397
Zapata,533555.0,27,0,0.0
