date,fips,cases,deaths,pct_cases,pct_deaths,cfr
2020-01-21,53,1,0,,,0.0
2020-01-22,53,1,0,0.0,,0.0
2020-01-23,53,1,0,0.0,,0.0
2020-01-24,70,2,0,1.0,,0.0
2020-01-25,76,3,0,0.5,,0.0
2020-01-26,80,5,0,0.6666666666666667,,0.0
2020-01-27,80,5,0,0.0,,0.0
2020-01-28,80,5,0,0.0,,0.0
2020-01-29,80,5,0,0.0,,0.0
2020-01-30,80,6,0,0.19999999999999996,,0.0
2020-01-31,80,7,0,0.16666666666666674,,0.0
2020-02-01,105,8,0,0.1428571428571428,,0.0
2020-02-02,105,11,0,0.375,,0.0
2020-02-03,105,11,0,0.0,,0.0
2020-02-04,105,11,0,0.0,,0.0
2020-02-05,160,12,0,0.09090909090909083,,0.0
2020-02-06,160,12,0,0.0,,0.0
2020-02-07,160,12,0,0.0,,0.0
2020-02-08,160,12,0,0.0,,0.0
2020-02-09,160,12,0,0.0,,0.0
2020-02-10,160,13,0,0.08333333333333326,,0.0
2020-02-11,160,13,0,0.0,,0.0
2020-02-12,208,14,0,0.07692307692307687,,0.0
2020-02-13,208,15,0,0.0714285714285714,,0.0
2020-02-14,208,15,0,0.0,,0.0
2020-02-15,208,15,0,0.0,,0.0
2020-02-16,208,15,0,0.0,,0.0
2020-02-17,239,25,0,0.6666666666666667,,0.0
2020-02-18,239,25,0,0.0,,0.0
2020-02-19,239,25,0,0.0,,0.0
2020-02-20,239,27,0,0.08000000000000007,,0.0
2020-02-21,239,30,0,0.11111111111111116,,0.0
2020-02-22,239,30,0,0.0,,0.0
2020-02-23,239,30,0,0.0,,0.0
2020-02-24,239,43,0,0.43333333333333335,,0.0
2020-02-25,288,45,0,0.04651162790697683,,0.0
2020-02-26,288,60,0,0.33333333333333326,,0.0
2020-02-27,288,60,0,0.0,,0.0
2020-02-28,329,65,0,0.08333333333333326,,0.0
2020-02-29,329,70,1,0.07692307692307687,inf,0.014285714285714285
2020-03-01,421,88,3,0.2571428571428571,2.0,0.03409090909090909
2020-03-02,467,104,6,0.18181818181818188,1.0,0.057692307692307696
2020-03-03,504,125,10,0.20192307692307687,0.6666666666666667,0.08
2020-03-04,538,161,12,0.28800000000000003,0.19999999999999996,0.07453416149068323
2020-03-05,649,228,12,0.4161490683229814,0.0,0.05263157894736842
2020-03-06,857,311,15,0.36403508771929816,0.25,0.04823151125401929
2020-03-07,1018,428,19,0.3762057877813505,0.2666666666666666,0.04439252336448598
2020-03-08,1046,547,22,0.27803738317757,0.1578947368421053,0.04021937842778794
2020-03-09,1107,748,26,0.36745886654478976,0.18181818181818188,0.034759358288770054
2020-03-10,1179,1018,31,0.3609625668449199,0.1923076923076923,0.030451866404715127
2020-03-11,1351,1263,37,0.24066797642436155,0.19354838709677424,0.02929532858273951
2020-03-12,1376,1668,43,0.3206650831353919,0.16216216216216206,0.02577937649880096
2020-03-13,1495,2224,50,0.33333333333333326,0.16279069767441867,0.022482014388489208
2020-03-14,1573,2898,60,0.30305755395683454,0.19999999999999996,0.020703933747412008
2020-03-15,1639,3600,68,0.2422360248447204,0.1333333333333333,0.01888888888888889
2020-03-16,1639,4507,91,0.2519444444444445,0.33823529411764697,0.02019081428888396
2020-03-17,1693,5905,116,0.310184157976481,0.27472527472527464,0.01964436917866215
2020-03-18,1693,8345,157,0.4132091447925488,0.35344827586206895,0.018813660874775314
2020-03-19,1693,12384,203,0.48400239664469735,0.29299363057324834,0.016392118863049095
2020-03-20,1693,17990,264,0.4526808785529717,0.3004926108374384,0.014674819344080044
2020-03-21,1693,24511,343,0.362479155086159,0.2992424242424243,0.013993717106605198
2020-03-22,1693,33043,435,0.3480886132756722,0.2682215743440233,0.013164664225403262
2020-03-23,1693,43477,550,0.31577035983415547,0.26436781609195403,0.012650366860638959
2020-03-24,1693,53892,731,0.2395519470064631,0.3290909090909091,0.013564165367772583
2020-03-25,1693,68489,989,0.2708565278705559,0.3529411764705883,0.014440275080669888
2020-03-26,1693,85497,1275,0.2483318489100439,0.2891809908998988,0.014912803958033615
2020-03-27,1693,102729,1648,0.2015509316116355,0.2925490196078431,0.016042208139863134
2020-03-28,1762,123581,2134,0.20298065784734587,0.29490291262135915,0.017268026638399107
2020-03-29,1762,142194,2487,0.15061376748852973,0.1654170571696345,0.017490189459470864
2020-03-30,1762,163589,3068,0.1504634513411256,0.23361479694410936,0.01875431722181809
2020-03-31,1762,188049,3911,0.1495210558167115,0.27477183833116037,0.02079777079378247
2020-04-01,1762,214711,4841,0.1417821950661795,0.23779084633086178,0.0225465858758983
2020-04-02,1762,244034,5952,0.13656962149121377,0.22949803759553822,0.024390044010260865
2020-04-03,1762,276501,7121,0.13304293663997635,0.196404569892473,0.025753975573325233
2020-04-04,1762,311536,8499,0.1267084025012568,0.19351214717034115,0.027280956293975655
2020-04-05,1762,336771,9654,0.0810018745827128,0.13589834098129194,0.028666363790231342
2020-04-06,1762,366213,10958,0.08742439224279996,0.1350735446447069,0.029922476809943938
2020-04-07,1762,397748,12957,0.08611108835568371,0.182423799963497,0.03257590233011857
2020-04-08,1762,429316,14803,0.07936683528264132,0.1424712510612025,0.03448042933410355
2020-04-09,1762,463684,16673,0.08005292139123621,0.1263257447814632,0.03595767807386065
2020-04-10,1762,496914,18710,0.07166518577306968,0.12217357404186413,0.03765239055450239
2020-04-11,1762,528397,20574,0.06335703964871175,0.09962586851950839,0.03893663287263175
2020-04-12,1762,555327,22055,0.05096546725284212,0.0719840575483619,0.03971533889041952
