date,fips,cases,deaths,pct_cases,pct_deaths,cfr
2020-03-19,1693,12413,203,0.4874775314559616,0.29299363057324834,0.016353822605333117
2020-03-20,1693,17996,265,0.4497704019979054,0.30541871921182273,0.01472549455434541
2020-03-21,1693,24532,343,0.36319182040453435,0.29433962264150937,0.01398173813794228
2020-03-22,1693,33061,436,0.3476683515408445,0.2711370262390671,0.01318774386739663
2020-03-23,1693,43499,546,0.3157194277245092,0.2522935779816513,0.012552012689946896
2020-03-24,1693,53938,731,0.2399825283339847,0.33882783882783873,0.013552597426675072
2020-03-25,1693,68537,990,0.27066261262931524,0.3543091655266757,0.014444752469469045
2020-03-26,1693,85533,1275,0.24798284138494542,0.28787878787878785,0.014906527305250605
2020-03-27,1693,102766,1649,0.20147779219716377,0.2933333333333332,0.016046163127882762
2020-03-28,1762,123619,2134,0.20291730728061808,0.2941176470588236,0.017262718514144265
2020-03-29,1762,142194,2486,0.1502600732897046,0.1649484536082475,0.017483156813930263
2020-03-30,1762,163683,3073,0.15112452002194177,0.2361222847948512,0.01877409382770355
2020-03-31,1762,188049,3911,0.14886090797456064,0.2726976895541815,0.02079777079378247
2020-04-01,1762,214711,4841,0.1417821950661795,0.23779084633086178,0.0225465858758983
2020-04-02,1762,244423,6232,0.1383813591292482,0.28733732699855397,0.025496782217712736
2020-04-03,1762,276501,7121,0.13123969511870803,0.1426508344030808,0.025753975573325233
2020-04-04,1762,311536,8499,0.1267084025012568,0.19351214717034115,0.027280956293975655
2020-04-05,1762,336774,9655,0.08101150428842896,0.13601600188257446,0.028669077779163474
2020-04-06,1762,366238,10959,0.08748893916988831,0.13505955463490427,0.02992316471802489
2020-04-07,1762,397754,12956,0.08605333144021099,0.18222465553426415,0.03257289681561971
2020-04-08,1762,429319,14803,0.07935809570739694,0.14255943192343312,0.03448018839138263
2020-04-09,1822,463684,16674,0.08004537418562885,0.12639329865567794,0.035959834715021434
2020-04-10,1822,496912,18712,0.07166087249074793,0.12222622046299625,0.037656566957529704
2020-04-11,1822,528395,20575,0.06335729465176931,0.09956177853783665,0.038938672773209435
2020-04-12,1822,555325,22056,0.05096566015953963,0.07198055893074118,0.03971728267230901
2020-04-13,1822,580851,23606,0.04596587583847289,0.07027566195139645,0.04064037076634111
2020-04-14,1822,607286,26080,0.04551081086199393,0.10480386342455317,0.042945169162470404
2020-04-15,1822,637054,28582,0.04901809032317561,0.09593558282208581,0.04486589833828843
2020-04-16,1822,668532,30664,0.04941182380143605,0.07284304807221331,0.045867662280937936
