county,fips,cases,deaths,cfr
Beaufort,8414652.0,38357,1010,0.02633156920509946
Beauregard,2223111.0,6369,335,0.05259852410111478
Beaver,8506338.0,42113,5278,0.12532947070975708
Beaverhead,2610087.0,87,0,0.0
Becker,2160400.0,2271,0,0.0
Beckham,3680828.0,496,0,0.0
Bedford,13484010.0,28008,493,0.017602113681805198
Bee,3986075.0,1155,0,0.0
Belknap,3432104.0,4475,18,0.004022346368715084
Bell,6138502.0,31588,407,0.012884639736608838
Belmont,4213404.0,25104,913,0.03636870618228171
Beltrami,2565665.0,1100,0,0.0
Ben Hill,1275666.0,5075,47,0.009261083743842364
Benewah,576324.0,590,0,0.0
Bennett,690105.0,43,0,0.0
Bennington,5750345.0,4890,83,0.016973415132924337
Benson,2052270.0,106,0,0.0
Bent,408561.0,121,0,0.0
Benton,26490917.0,146448,5686,0.038826067955861465
Benzie,1899387.0,330,0,0.0
Bergen,4012354.0,1419926,111866,0.0787829788312912
Berkeley,9883824.0,44930,1522,0.033874916536835074
Berks,4369144.0,276905,17991,0.0649717412108846
Berkshire,2875345.0,43822,3117,0.07112865683903062
Bernalillo,3885111.0,102175,4624,0.045255688769268415
Berrien,3825869.0,47960,2854,0.05950792326939116
Bertie,3590455.0,7102,236,0.03323007603491974
Bethel Census Area,172200.0,242,0,0.0
Bexar,6676031.0,251780,5440,0.021606164111525935
Bibb,1433807.0,38824,1690,0.043529775396661856
Bienville,2223313.0,9661,1499,0.1551599213331953
Big Horn,6854480.0,2178,54,0.024793388429752067
Big Stone,2674089.0,486,0,0.0
Billings,380070.0,10,0,0.0
Bingham,1633122.0,991,0,0.0
Black Hawk,1996365.0,110707,2551,0.02304280668792398
Blackford,1602801.0,1579,110,0.06966434452184928
Bladen,3257496.0,8706,107,0.012290374454399264
Blaine,4010031.0,45687,443,0.009696412546238537
Blair,4033248.0,3191,43,0.01347539956126606
Blanco,4659007.0,793,31,0.03909205548549811
Bland,561231.0,20,0,0.0
Bleckley,1198116.0,2668,15,0.005622188905547227
Bledsoe,4418658.0,41278,49,0.0011870730171035418
Blount,4892791.0,12659,296,0.023382573663006556
Blue Earth,2863378.0,9188,47,0.005115367871136265
Boise,80075.0,10,0,0.0
Bolivar,2913144.0,11902,772,0.0648630482271887
Bollinger,2785632.0,510,0,0.0
Bon Homme,5106999.0,552,0,0.0
Bond,1581465.0,772,75,0.09715025906735751
Bonner,1473564.0,571,0,0.0
Bonneville,1505786.0,3937,16,0.004064008128016256
Boone,17097648.0,94739,4686,0.04946220669418085
Bosque,3650660.0,447,0,0.0
Bossier,2377620.0,33701,1745,0.05177887896501587
Botetourt,5153323.0,3081,249,0.08081791626095423
Bottineau,1596378.0,139,0,0.0
Boulder,865404.0,69207,4221,0.060990940222809834
Boundary,64084.0,4,0,0.0
Bourbon,4250925.0,1819,190,0.10445299615173172
Bowie,5091922.0,16687,888,0.05321507760532151
Bowman,3192924.0,84,0,0.0
Box Butte,2481040.0,140,0,0.0
Box Elder,5096312.0,3544,71,0.020033860045146727
Boyd,2854202.0,3251,242,0.07443863426637957
Boyle,1975974.0,1881,0,0.0
Bracken,1976162.0,886,0,0.0
Bradford,5318170.0,7433,423,0.056908381541773176
Bradley,5316266.0,13704,196,0.014302393461762989
Branch,2368093.0,63134,1558,0.024677669718376784
Brantley,1107125.0,3553,158,0.044469462426118773
Braxton,4482581.0,170,0,0.0
Brazoria,5188212.0,72610,868,0.01195427627048616
Brazos,5044305.0,43710,1625,0.037176847403340194
Breathitt,2102500.0,310,0,0.0
Breckinridge,1976538.0,1201,83,0.06910907577019151
Bremer,1692513.0,4726,354,0.07490478205670757
Brevard,1260945.0,38116,886,0.023244831566796097
Brewster,2882580.0,751,0,0.0
Briscoe,2834655.0,64,0,0.0
Bristol,6968637.0,467540,26825,0.05737477007314882
Bristol Bay Borough,63860.0,160,0,0.0
Bristol city,4894400.0,244,0,0.0
Broadwater,3090721.0,391,0,0.0
Brooke,4536756.0,350,0,0.0
Brookings,4509078.0,1765,0,0.0
Brooks,4526754.0,5784,624,0.1078838174273859
Broome,3888756.0,36914,2956,0.08007801917971501
Broomfield,817428.0,16913,1548,0.09152722757642051
Broward,1393276.0,586654,21688,0.03696898001206844
Brown,25197534.0,167621,2739,0.016340434671073434
Brule,1242405.0,273,0,0.0
Brunswick,8641327.0,13614,365,0.02681063610988688
Bryan,5158103.0,7859,402,0.051151545998218605
Buchanan,8907125.0,42579,179,0.004203950304140539
Buckingham,4643639.0,26123,145,0.005550664165677756
Bucks,4663887.0,339532,30178,0.08888116584003865
Buena Vista,1597764.0,47875,197,0.004114882506527415
Buena Vista city,4534640.0,786,0,0.0
Buffalo,11069010.0,12632,207,0.016386953768207726
Bullitt,1997755.0,7581,282,0.03719825880490701
Bulloch,1224914.0,6087,176,0.028914079185148676
Bullock,97056.0,10798,303,0.028060751991109464
Buncombe,3739121.0,19747,1294,0.06552894110497798
Bureau,1616045.0,1272,56,0.0440251572327044
Burke,8302668.0,38368,1335,0.03479462051709758
Burleigh,3991575.0,10419,0,0.0
Burleson,4516794.0,2143,0,0.0
